Snake,id_part,id_node,source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,radial_velocity_error,parallax_error,pmra_error,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr
0,layer10_83463,layer12_88323,3104619931714307072,96.54618430418182,-4.164425286359148,3.249919017528248,-4.379989509838338,-1.2327869025610787,,,0.2206292,0.18369405,0.178609,0.2987365,0.39604378
0,layer10_83463,layer12_88323,3104620374092656640,96.58090920626084,-4.139560867100778,3.0545660208711034,-4.579174184357666,-1.6962494756457485,24.736317,5.4422,0.02573333,0.025202567,0.023081377,0.084204644,0.2150907
0,layer10_83463,layer12_88323,3104626902440481152,96.70640639061452,-4.056434368592468,3.0963681460079524,-4.909202504190223,-1.883006478455623,,,0.051029745,0.04959148,0.04466443,0.26103407,0.026596706
0,layer10_83463,,3104627903172142848,96.8339450795406,-4.0492841918009725,2.8057510189424555,-5.196031584130703,-1.9706157383096283,,,0.18854034,0.18774961,0.21777596,0.16799048,0.09545973
0,layer10_83463,,3104635496674790912,97.03988897854282,-4.087880418777004,3.524644787022557,-4.860470958511979,-1.8453945334417088,,,0.13659076,0.14922158,0.13735706,0.07527755,0.026770212
0,layer10_83463,layer12_88323,3104635870332833664,97.03172431105592,-4.062845059475941,2.97538064684225,-5.10702445284518,-2.167604282100469,,,0.21935877,0.2428357,0.21753974,0.049521048,0.13268177
0,layer10_83463,layer12_88323,3104647758801162496,97.17341920330816,-3.889765204671142,3.039168468605663,-4.598509147193704,-2.177611565210145,,,0.2998138,0.27800852,0.24539074,0.17332536,0.09136181
0,layer10_83463,,3104649098831014272,97.12716943199804,-3.820873438603496,4.104979113286261,-6.548080439704422,-2.87951792616159,,,0.13049765,0.13448416,0.12626626,0.18218817,0.14134356
0,layer10_83463,layer12_88323,3104673739063549440,98.3115360227622,-4.670878007154577,3.158488986240765,-5.141279365899103,-1.8011728028047904,12.216552,4.099292,0.01980866,0.019687263,0.019055257,0.11690516,0.07289402
0,layer10_83463,,3104674387597790208,98.41474384914244,-4.612037187249128,4.278617572469887,-7.66034060684843,-3.4089970352323875,,,0.14308414,0.12643895,0.11956302,0.2726853,0.034771163
